Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2020 RAM 1500 Rebel,"$27,895",National Motors of Ellicott City,Automatic,Four-Wheel Drive,Gasoline,4.5,554 reviews,"Ellicott City, MD (8 mi.)","97,849 mi."
2023 Jeep Grand Cherokee 4xe Trailhawk,"$46,200",Heritage Chrysler Jeep Dodge RAM Owings Mills,Automatic,Four-Wheel Drive,Gasoline,4.5,"2,445 reviews","Owings Mills, MD (15 mi.)","7,998 mi."
2024 Jeep Grand Cherokee L Limited,"$43,250",Koons Clarksville Chevy Buick GMC,Automatic,Four-Wheel Drive,Gasoline,4.5,502 reviews,"Clarksville, MD (15 mi.)","5,377 mi."
2020 Porsche Macan,"$34,998",CarMax Jackson (TN),Automatic,Four-Wheel Drive,Gasoline,0,2 reviews,N/A,"48,183 mi."
2019 INFINITI QX30 Luxe,"$23,998",CarMax Lancaster,Automatic,Four-Wheel Drive,Gasoline,2.4,19 reviews,N/A,"28,394 mi."
2015 Cadillac SRX Performance,"$19,998",CarMax Mechanicsburg,Automatic,Four-Wheel Drive,Gasoline,0,5 reviews,N/A,"54,978 mi."
2020 BMW X7 M50i,"$51,998",CarMax Tupelo,Automatic,Four-Wheel Drive,Gasoline,0,0 reviews,N/A,"46,429 mi."
2020 Chevrolet Silverado 1500 Custom,"$31,998",CarMax White Marsh,Automatic,Four-Wheel Drive,Gasoline,0,34 reviews,"White Marsh, MD (16 mi.)","35,197 mi."
2020 Jeep Grand Cherokee High Altitude,"$28,900",DARCARS Lexus Of Silver Spring,Automatic,Four-Wheel Drive,Gasoline,4.6,"1,786 reviews","Silver Spring, MD (20 mi.)","62,828 mi."
2017 Chevrolet Silverado 1500 LT,"$25,290",Superior Motors Company,Automatic,Four-Wheel Drive,Gasoline,0,15 reviews,"Bel Air, MD (25 mi.)","84,695 mi."
2009 Hummer H3T Alpha,"$19,990",Mount Airy Auto Sales,Automatic,Four-Wheel Drive,Gasoline,0,1 review,"Mount Airy, MD (27 mi.)","180,519 mi."
2013 Subaru XV Crosstrek Premium,"$16,998",CarMax Brandywine,Automatic,Four-Wheel Drive,Gasoline,0,7 reviews,"Brandywine, MD (41 mi.)","72,008 mi."
2018 Jeep Compass Limited,"$18,998",CarMax Dulles,Automatic,Four-Wheel Drive,Gasoline,0,26 reviews,"Sterling, VA (44 mi.)","54,323 mi."
2011 Jeep Liberty Sport,"$6,995",NOVA Autoland LLC,Automatic,Four-Wheel Drive,Gasoline,4.3,6 reviews,"Chantilly, VA (49 mi.)","115,990 mi."
2012 Nissan Xterra X,"$13,812",Precise Automotive Group,Automatic,Four-Wheel Drive,Gasoline,4.5,128 reviews,"Chantilly, VA (49 mi.)","57,733 mi."
2017 Ford F-150 XLT,"$22,990",Susquehanna Chrysler Dodge Jeep RAM,Automatic,Four-Wheel Drive,Gasoline,4.2,573 reviews,"Wrightsville, PA (55 mi.)","101,049 mi."
2024 Nissan Pathfinder Rock Creek,"$40,000",Preston Ford Lincoln Hyundai Nissan,Automatic,Four-Wheel Drive,Gasoline,0,565 reviews,"Hurlock, MD (57 mi.)","4,921 mi."
2021 Jeep Cherokee Limited,"$26,498",Buchanan Auto Park,Automatic,Four-Wheel Drive,Gasoline,4.5,485 reviews,"Waynesboro, PA (58 mi.)","28,239 mi."
2021 Ford Expedition XLT,"$36,800",Winner Ford Hyundai,Automatic,Four-Wheel Drive,Gasoline,0,934 reviews,"Dover, DE (63 mi.)","75,552 mi."
2022 GMC Sierra 1500 SLT,"$50,987",Morgan Automotive Inc.,Automatic,Four-Wheel Drive,Gasoline,5,"1,000 reviews","Manheim, PA (65 mi.)","21,424 mi."
2020 Jeep Renegade Latitude,"$22,563",New Holland Auto Group,Automatic,Four-Wheel Drive,Gasoline,4.1,457 reviews,"New Holland, PA (67 mi.)","19,421 mi."
2022 Chevrolet Silverado 1500 Limited RST,"$37,395",Sheehy Ford of Warrenton,Automatic,Four-Wheel Drive,Gasoline,4.5,619 reviews,"Warrenton, VA (69 mi.)","44,834 mi."
2023 Ford F-350 Lariat,"$59,991",Al Packer Ford,Automatic,Four-Wheel Drive,Gasoline,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","29,909 mi."
2022 Jeep Grand Cherokee L Limited,"$33,980",VINS MD,Automatic,Four-Wheel Drive,Gasoline,0,0 reviews,"Baltimore, MD (8 mi.)","42,515 mi."
2022 Jeep Grand Cherokee L Limited,"$35,499",AutoNation Acura Hunt Valley,Automatic,Four-Wheel Drive,Gasoline,4.9,231 reviews,"Cockeysville, MD (17 mi.)","31,916 mi."
2024 Jeep Grand Cherokee 4xe Base,"$37,700",Jim Coleman Nissan of Silver Spring,Automatic,Four-Wheel Drive,Gasoline,4.8,220 reviews,"Silver Spring, MD (19 mi.)","17,851 mi."
