Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2022 Toyota Camry LE,"$24,499",King Kia,CVT,Front-Wheel Drive,Hybrid,4.6,187 reviews,"Gaithersburg, MD (30 mi.)","51,672 mi."
2021 Toyota Sienna LE,"$30,000",Malloy Ford of Alexandria,CVT,Front-Wheel Drive,Hybrid,2.5,665 reviews,"Alexandria, VA (39 mi.)","84,792 mi."
2021 Chrysler Pacifica Hybrid Pinnacle,"$36,281",Pohanka Acura,CVT,Front-Wheel Drive,Hybrid,4.7,"1,743 reviews","Chantilly, VA (47 mi.)","18,261 mi."
2020 Lexus ES 300h Base,"$32,981",Pohanka Acura,CVT,Front-Wheel Drive,Hybrid,4.7,"1,743 reviews","Chantilly, VA (47 mi.)","23,876 mi."
2023 Lexus ES 300h Base,"$41,821",Honda of Chantilly,CVT,Front-Wheel Drive,Hybrid,4.3,702 reviews,"Chantilly, VA (48 mi.)","26,932 mi."
2022 Toyota Prius Limited,"$19,000",Jerry's Leesburg Ford,CVT,Front-Wheel Drive,Hybrid,4.5,341 reviews,"Leesburg, VA (48 mi.)","128,071 mi."
2023 Chrysler Pacifica Hybrid Limited,"$39,800",Lindsay Chrysler Dodge Jeep Ram,CVT,Front-Wheel Drive,Hybrid,4.7,"1,761 reviews","Manassas, VA (53 mi.)","21,700 mi."
2018 Toyota Prius Four,"$22,500",Guarantee Auto Maxx,CVT,Front-Wheel Drive,Hybrid,3.1,32 reviews,"STAFFORD, VA (63 mi.)","43,239 mi."
2022 Ford Escape SEL,"$29,057",Faulkner Hyundai Harrisburg,CVT,Front-Wheel Drive,Hybrid,4.4,676 reviews,"Harrisburg, PA (71 mi.)","6,012 mi."
2022 Toyota Camry LE,"$25,990",Del Toyota,CVT,Front-Wheel Drive,Hybrid,4.7,"6,647 reviews","Thorndale, PA (72 mi.)","55,311 mi."
2011 Toyota Camry Hybrid,"$5,495",RideSmart Auto,CVT,Front-Wheel Drive,Hybrid,4.9,520 reviews,"Honey Brook, PA (74 mi.)","242,442 mi."
2021 Ford Bronco Outer Banks,"$41,212",Al Packer Ford,CVT,Front-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","25,430 mi."
2013 Toyota Prius Three,"$12,788",Bill Kidd's Toyota Volvo Cars,CVT,Front-Wheel Drive,Hybrid,3.2,704 reviews,"Cockeysville, MD (17 mi.)","100,052 mi."
2023 Honda Accord Hybrid Sport-L,"$30,750",Sport Honda,CVT,Front-Wheel Drive,Hybrid,4.9,594 reviews,"Silver Spring, MD (19 mi.)","17,518 mi."
2024 Honda CR-V Hybrid Sport-L,"$35,000",Heritage Honda Bel Air,CVT,Front-Wheel Drive,Hybrid,4.9,"4,469 reviews","Fallston, MD (24 mi.)","17,166 mi."
2017 Toyota Prius Prime Advanced,"$15,995",Jones Preowned Superstore,CVT,Front-Wheel Drive,Hybrid,3.2,733 reviews,"Fallston, MD (25 mi.)","127,644 mi."
2016 Ford Fusion Hybrid SE,"$15,700",Cherner Brothers Auto Brokers,CVT,Front-Wheel Drive,Hybrid,4.8,201 reviews,"Kensington, MD (26 mi.)","23,562 mi."
2018 Ford Fusion Hybrid SE,"$11,395",Motorcars of Gaithersburg,CVT,Front-Wheel Drive,Hybrid,0,7 reviews,"Gaithersburg, MD (27 mi.)","106,886 mi."
2024 Toyota Prius LE,"$32,250",Koons Tysons Toyota,CVT,Front-Wheel Drive,Hybrid,4.7,"2,444 reviews","Vienna, VA (37 mi.)","2,109 mi."
2021 Toyota Prius LE,"$21,150",Koons Tysons Toyota,CVT,Front-Wheel Drive,Hybrid,4.7,"2,444 reviews","Vienna, VA (37 mi.)","66,843 mi."
2021 Toyota Sienna XLE,"$46,250",Koons Tysons Toyota,CVT,Front-Wheel Drive,Hybrid,4.7,"2,444 reviews","Vienna, VA (37 mi.)","49,954 mi."
2022 Honda Accord Hybrid Base,"$27,500",Ourisman Honda of Tysons Corner,CVT,Front-Wheel Drive,Hybrid,3.7,529 reviews,"Vienna, VA (38 mi.)","33,711 mi."
2023 Toyota Prius XLE,"$32,191",DARCARS Used Car Center,CVT,Front-Wheel Drive,Hybrid,0,98 reviews,"Frederick, MD (43 mi.)","11,935 mi."
2021 Toyota Camry Hybrid LE,"$20,500",Waldorf Ford,CVT,Front-Wheel Drive,Hybrid,4.3,"1,144 reviews","Waldorf, MD (43 mi.)","95,805 mi."
2023 Chrysler Pacifica Hybrid Touring L,"$33,000",DARCARS Chrysler Jeep Waldorf,CVT,Front-Wheel Drive,Hybrid,4,64 reviews,"Waldorf, MD (44 mi.)","29,508 mi."
2021 Honda Accord Hybrid Touring,"$30,250",Pohanka Lexus,CVT,Front-Wheel Drive,Hybrid,3.9,"1,912 reviews","Chantilly, VA (48 mi.)","20,577 mi."
2023 Toyota Camry Hybrid SE,"$26,660",Buchanan Automotive Inc.,CVT,Front-Wheel Drive,Hybrid,3.9,388 reviews,"Waynesboro, PA (59 mi.)","83,378 mi."
2009 Toyota Camry Hybrid Base,"$9,899",Manheim Used Car Factory,CVT,Front-Wheel Drive,Hybrid,0,0 reviews,"Manheim, PA (66 mi.)","90,254 mi."
2021 Toyota Sienna XLE 8 Passenger,"$38,998",Sheehy Toyota of Stafford,CVT,Front-Wheel Drive,Hybrid,4.1,"1,443 reviews","Stafford, VA (67 mi.)","45,925 mi."
2023 Toyota Sienna XLE,"$44,998",Sheehy Toyota of Stafford,CVT,Front-Wheel Drive,Hybrid,4.1,"1,443 reviews","Stafford, VA (67 mi.)","47,333 mi."
2021 Toyota Sienna LE,"$30,300",CMA's Chevrolet of Martinsburg,CVT,Front-Wheel Drive,Hybrid,0,66 reviews,"Martinsburg, WV (72 mi.)","79,008 mi."
2015 Toyota Prius Three,"$11,995",Del Toyota,CVT,Front-Wheel Drive,Hybrid,4.7,"6,647 reviews","Thorndale, PA (72 mi.)","146,928 mi."
2021 Ford Bronco Outer Banks,"$41,212",Al Packer Ford,CVT,Front-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","25,430 mi."
2021 Toyota Camry LE,"$24,800",Heritage Subaru Catonsville,CVT,Front-Wheel Drive,Hybrid,4.8,"1,395 reviews","Catonsville, MD (6 mi.)","36,310 mi."
2022 Toyota Camry LE,"$26,741",Safford Brown Toyota Glen Burnie,CVT,Front-Wheel Drive,Hybrid,4.8,"2,764 reviews","Glen Burnie, MD (6 mi.)","31,841 mi."
2017 Toyota Prius Prime Premium,"$17,987",Norris Auto Group,CVT,Front-Wheel Drive,Hybrid,4.6,719 reviews,"Baltimore, MD (10 mi.)","67,576 mi."
2023 Chrysler Pacifica Hybrid Limited,"$43,096",Don White's Timonium Chrysler Jeep Dodge and RAM,CVT,Front-Wheel Drive,Hybrid,4.4,447 reviews,"Cockeysville, MD (17 mi.)","5,581 mi."
2024 Toyota Corolla Hybrid LE,"$23,000",Ourisman Toyota 40,CVT,Front-Wheel Drive,Hybrid,4.6,430 reviews,"Edgewood, MD (23 mi.)","59,896 mi."
2024 Honda Accord Hybrid Base,"$33,998",Jones Kia and Used Cars,CVT,Front-Wheel Drive,Hybrid,3.1,193 reviews,"Fallston, MD (24 mi.)","2,951 mi."
2015 Toyota Prius Two,"$15,996",Jones Used Cars,CVT,Front-Wheel Drive,Hybrid,3.2,223 reviews,"Bel Air, MD (25 mi.)","91,503 mi."
2013 Toyota Prius Four,"$11,998",Jones Preowned Superstore,CVT,Front-Wheel Drive,Hybrid,3.2,733 reviews,"Fallston, MD (25 mi.)","145,863 mi."
2015 Lexus CT 200h Base,"$13,958",Motorcars of Gaithersburg,CVT,Front-Wheel Drive,Hybrid,0,7 reviews,"Gaithersburg, MD (27 mi.)","103,400 mi."
2024 Honda Accord Hybrid Base,"$33,500",Safford Brown Honda Arlington,CVT,Front-Wheel Drive,Hybrid,4.3,889 reviews,"Arlington, VA (34 mi.)","5,111 mi."
2013 Toyota Avalon Hybrid XLE Touring,"$15,895",Renn Kirby Mitsubishi,CVT,Front-Wheel Drive,Hybrid,4.3,153 reviews,"Frederick, MD (41 mi.)","83,374 mi."
2022 Honda Accord Hybrid Sport,"$27,500",Jim McKay Chevrolet,CVT,Front-Wheel Drive,Hybrid,2.5,307 reviews,"Fairfax, VA (43 mi.)","14,115 mi."
2020 Lexus ES 300h Luxury,"$35,550",Pohanka Lexus,CVT,Front-Wheel Drive,Hybrid,3.9,"1,912 reviews","Chantilly, VA (48 mi.)","48,480 mi."
2023 Honda Accord Hybrid Touring,"$35,600",Jerry's Leesburg Chevrolet,CVT,Front-Wheel Drive,Hybrid,0,162 reviews,"Leesburg, VA (48 mi.)","7,110 mi."
2013 Ford Fusion Hybrid SE Hybrid,"$8,950",Car Logic of Wrightsville,CVT,Front-Wheel Drive,Hybrid,4,29 reviews,"Wrightsville, PA (55 mi.)","134,348 mi."
2023 Toyota Camry Hybrid XSE,"$33,995",Leonardtown Ford,CVT,Front-Wheel Drive,Hybrid,4.9,154 reviews,"Leonardtown, MD (65 mi.)","17,904 mi."
2022 Toyota Corolla Hybrid LE,"$24,500",Sheehy Toyota of Stafford,CVT,Front-Wheel Drive,Hybrid,4.1,"1,443 reviews","Stafford, VA (67 mi.)","12,268 mi."
2020 Ford Fusion Hybrid SE,"$19,800",Parsons Ford Lincoln,CVT,Front-Wheel Drive,Hybrid,4.2,516 reviews,"Martinsburg, WV (69 mi.)","37,763 mi."
2010 Toyota Prius II,"$6,925",Cars Trend LLC,CVT,Front-Wheel Drive,Hybrid,3.7,22 reviews,"Harrisburg, PA (71 mi.)","140,275 mi."
2020 Toyota Camry Hybrid XLE,"$29,492",Team Toyota of Glen Mills,CVT,Front-Wheel Drive,Hybrid,3.7,"1,305 reviews","Glen Mills, PA (76 mi.)","13,535 mi."
2021 Ford Bronco Outer Banks,"$41,212",Al Packer Ford,CVT,Front-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","25,430 mi."
2020 Toyota Corolla Hybrid LE,"$16,176",National Motors of Ellicott City,CVT,Front-Wheel Drive,Hybrid,4.4,555 reviews,"Ellicott City, MD (8 mi.)","70,991 mi."
2022 Toyota Prius Prime XLE,"$27,000",Heritage Toyota Owings Mills,CVT,Front-Wheel Drive,Hybrid,4.7,"1,346 reviews","Owings Mills, MD (13 mi.)","26,156 mi."
